Date,Silver_Price,Open,High,Low,Volume,Change_Percent
2019-06-10,15,15,15,15,0.00K,0.59%
2019-06-09,15,15,15,15,-,-3.10%
2019-06-07,15,15,15,15,0.05K,0.86%
2019-06-06,15,15,15,15,0.02K,0.70%
2019-06-05,15,15,15,15,0.00K,0.08%
2019-06-04,15,15,15,15,0.00K,0.17%
2019-06-03,15,15,15,15,0.01K,3.93%
2019-06-02,15,15,15,15,-,-2.70%
2019-05-31,15,15,15,15,0.01K,0.49%
2019-05-30,15,15,15,15,0.00K,0.57%
2019-05-29,15,15,15,15,0.11K,0.54%
2019-05-28,15,15,15,15,0.00K,1.35%
2019-05-27,15,15,15,15,-,0.10%
2019-05-26,15,15,15,15,-,-2.99%
2019-05-24,15,15,15,15,0.18K,-0.37%
2019-05-23,15,15,15,15,0.01K,1.09%
2019-05-22,15,15,15,15,0.01K,0.25%
2019-05-21,15,15,15,15,0.00K,-0.23%
2019-05-20,15,15,15,15,0.15K,3.24%
2019-05-19,14,14,14,14,-,-2.76%
2019-05-17,15,15,15,15,0.09K,-1.02%
2019-05-16,15,15,15,15,0.44K,-1.78%
2019-05-15,15,15,15,15,0.00K,-0.05%
2019-05-14,15,15,15,15,0.00K,0.19%
2019-05-13,15,15,15,15,0.00K,3.27%
2019-05-12,15,15,15,15,-,-3.28%
2019-05-10,15,15,15,15,0.05K,0.10%
2019-05-09,15,15,15,15,0.10K,-0.59%
2019-05-08,15,15,15,15,0.06K,-0.49%
2019-05-07,15,15,15,15,0.06K,-0.09%
2019-05-06,15,15,15,15,0.00K,3.20%
2019-05-05,15,15,15,15,-,-3.46%
2019-05-03,15,15,15,15,0.18K,2.40%
2019-05-02,15,15,15,15,0.01K,-0.73%
2019-05-01,15,15,15,15,0.08K,-1.61%
2019-04-30,15,15,15,15,0.03K,0.36%
2019-04-29,15,15,15,15,0.02K,2.72%
2019-04-28,15,15,15,15,-,-3.69%
2019-04-26,16,16,16,16,0.05K,0.85%
2019-04-25,15,16,16,16,0.00K,-0.28%
2019-04-24,15,15,15,15,0.03K,0.78%
2019-04-23,15,15,15,15,0.00K,-1.21%
2019-04-22,16,15,15,15,0.14K,3.91%
2019-04-21,15,15,15,15,-,0.11%
2019-04-19,15,15,15,15,-,-3.79%
2019-04-18,16,16,16,16,0.00K,0.12%
2019-04-17,16,15,15,15,0.03K,0.07%
2019-04-16,16,15,15,15,0.02K,-0.42%
2019-04-15,16,15,15,15,0.02K,4.50%
2019-04-14,15,15,15,15,-,-4.23%
2019-04-12,16,15,15,15,0.02K,0.66%
2019-04-11,15,16,16,16,0.00K,-2.44%
2019-04-10,16,16,16,16,0.33K,0.22%
2019-04-09,16,16,16,16,0.00K,-0.04%
2019-04-08,16,16,16,16,0.39K,4.94%
2019-04-07,15,15,15,15,-,-3.89%
2019-04-05,16,16,16,16,0.05K,0.04%
2019-04-04,16,16,16,16,0.05K,-0.12%
2019-04-03,16,16,16,16,0.27K,0.25%
2019-04-02,16,15,15,15,0.00K,-0.15%
2019-04-01,16,16,16,16,0.22K,3.86%
2019-03-31,15,15,15,15,-,-3.77%
2019-03-29,16,16,16,16,0.04K,0.92%
2019-03-28,16,16,16,16,0.10K,-2.07%
2019-03-27,16,16,16,15,0.05K,-0.90%
2019-03-26,16,16,16,16,0.00K,-0.83%
2019-03-25,16,16,16,16,0.05K,4.95%
2019-03-24,15,15,15,15,-,-3.77%
2019-03-22,16,16,16,16,0.01K,-0.27%
2019-03-21,16,16,16,16,0.06K,0.73%
2019-03-20,16,16,16,16,0.00K,-0.35%
2019-03-19,16,16,16,16,0.12K,0.31%
2019-03-18,16,15,16,15,0.11K,4.43%
2019-03-17,15,15,15,15,-,-4.26%
2019-03-15,16,16,16,16,0.00K,0.98%
2019-03-14,16,16,16,16,0.10K,-1.80%
2019-03-13,16,16,16,16,0.83K,0.27%
2019-03-12,16,16,16,16,0.00K,0.87%
2019-03-11,16,16,16,16,0.05K,3.67%
2019-03-10,15,15,15,15,-,-3.99%
2019-03-08,16,16,16,16,0.02K,1.99%
2019-03-07,16,16,16,15,0.04K,-0.27%
2019-03-06,16,16,16,16,0.00K,-0.17%
2019-03-05,16,16,16,16,0.04K,-0.01%
2019-03-04,16,16,16,16,0.00K,3.78%
2019-03-03,15,15,15,15,-,-4.56%
2019-03-01,16,16,16,16,0.01K,-2.30%
2019-02-28,16,16,16,16,0.11K,-0.81%
2019-02-27,16,17,17,17,0.00K,-0.93%
2019-02-26,17,16,16,16,0.42K,0.02%
2019-02-25,17,16,16,16,0.54K,4.15%
2019-02-24,16,16,16,16,-,-4.42%
2019-02-22,17,17,17,17,0.00K,0.64%
2019-02-21,17,16,16,16,0.01K,-2.23%
2019-02-20,17,17,17,17,0.02K,1.28%
2019-02-19,17,16,16,16,0.01K,5.63%
2019-02-18,16,16,16,16,-,0.25%
2019-02-17,16,16,16,16,-,-4.27%
2019-02-15,16,16,16,16,0.22K,1.35%
2019-02-14,16,16,16,16,0.01K,-0.74%
2019-02-13,16,16,16,16,0.02K,-0.31%
2019-02-12,16,16,16,16,1.46K,-0.03%
2019-02-11,16,16,16,16,0.29K,3.74%
2019-02-10,16,16,16,16,-,-4.30%
2019-02-08,17,16,16,16,0.54K,0.60%
2019-02-07,16,16,16,16,0.05K,0.09%
2019-02-06,16,16,16,16,0.16K,-0.82%
2019-02-05,17,16,16,16,0.00K,-0.30%
2019-02-04,17,16,16,16,0.00K,4.32%
2019-02-03,16,16,16,16,-,-4.37%
2019-02-01,17,17,17,17,0.01K,-0.83%
2019-01-31,17,17,17,17,0.03K,0.87%
2019-01-30,17,16,16,16,1.38K,0.53%
2019-01-29,17,16,16,16,0.22K,0.50%
2019-01-28,16,16,16,16,0.09K,4.65%
2019-01-27,16,16,16,16,-,-4.05%
2019-01-25,16,16,16,16,0.21K,2.53%
2019-01-24,16,16,16,16,0.02K,-0.50%
2019-01-23,16,16,16,16,0.00K,0.37%
2019-01-22,16,16,16,16,0.00K,4.77%
2019-01-21,15,15,15,15,-,-0.52%
2019-01-20,15,15,15,15,-,-4.52%
2019-01-18,16,16,16,16,0.01K,-0.86%
2019-01-17,16,16,16,16,0.01K,-0.61%
2019-01-16,16,16,16,16,0.12K,0.12%
2019-01-15,16,16,16,16,0.00K,-0.42%
2019-01-14,16,16,16,16,0.00K,4.75%
2019-01-13,16,16,16,16,-,-4.34%
2019-01-11,16,16,16,16,0.10K,0.07%
2019-01-10,16,16,16,16,0.01K,-0.54%
2019-01-09,16,16,16,16,0.42K,0.14%
2019-01-08,16,16,16,16,0.49K,-0.21%
2019-01-07,16,16,16,16,0.05K,4.30%
2019-01-06,16,16,16,16,-,-4.31%
2019-01-04,16,16,16,16,0.53K,-0.07%
2019-01-03,16,16,16,16,0.01K,0.93%
2019-01-02,16,16,16,16,0.05K,5.16%
2019-01-01,16,16,16,16,-,-4.25%
2018-12-31,16,16,16,16,0.03K,5.01%
2018-12-30,15,15,15,15,-,-4.17%
2018-12-28,16,16,16,16,0.05K,0.77%
2018-12-27,16,15,16,15,0.19K,1.16%
2018-12-26,16,15,15,15,0.00K,6.69%
2018-12-25,15,15,15,15,-,-4.40%
2018-12-24,15,15,15,15,0.03K,5.23%
2018-12-23,15,15,15,15,-,-4.27%
2018-12-21,15,15,15,15,0.00K,-1.09%
2018-12-20,16,15,15,15,0.06K,0.33%
2018-12-19,15,15,15,15,0.16K,0.76%
2018-12-18,15,15,15,15,0.13K,-0.37%
2018-12-17,15,15,15,15,0.05K,5.47%
2018-12-16,15,15,15,15,-,-4.42%
2018-12-14,15,15,15,15,0.17K,-1.42%
2018-12-13,16,15,15,15,0.50K,0.01%
2018-12-12,16,15,15,15,0.05K,1.43%
2018-12-11,15,15,15,15,0.63K,0.15%
2018-12-10,15,15,15,15,0.46K,4.05%
2018-12-09,15,15,15,15,-,-4.49%
2018-12-07,15,15,15,15,0.05K,1.19%
2018-12-06,15,15,15,15,0.03K,-0.51%
2018-12-05,15,15,15,15,0.58K,-0.37%
2018-12-04,15,15,15,15,0.15K,0.89%
2018-12-03,15,15,15,15,0.23K,6.26%
2018-12-02,14,14,14,14,-,-4.08%
2018-11-30,15,15,15,14,0.34K,-1.24%
2018-11-29,15,15,15,15,0.18K,-0.36%
2018-11-28,15,15,15,15,0.24K,1.57%
2018-11-27,15,15,15,14,0.03K,-0.86%
2018-11-26,15,15,15,15,0.01K,4.56%
2018-11-25,14,14,14,14,-,-4.51%
2018-11-23,15,15,15,15,0.21K,4.22%
2018-11-22,14,14,15,14,-,-5.65%
2018-11-21,15,15,15,15,0.00K,1.60%
2018-11-20,15,15,15,15,0.06K,-0.93%
2018-11-19,15,15,15,15,0.05K,5.88%
2018-11-18,14,14,14,14,-,-5.45%
2018-11-16,15,15,15,15,0.03K,0.79%
2018-11-15,15,15,15,15,0.15K,1.27%
2018-11-14,15,14,14,14,0.05K,0.70%
2018-11-13,15,15,15,15,0.00K,-0.23%
2018-11-12,15,14,14,14,0.13K,4.80%
2018-11-11,14,14,14,14,-,-5.38%
2018-11-09,15,15,15,14,0.02K,-1.84%
2018-11-08,15,15,15,15,0.09K,-0.93%
2018-11-07,15,15,15,15,0.06K,0.51%
2018-11-06,15,15,15,15,0.63K,-0.92%
2018-11-05,15,15,15,15,0.63K,4.65%
2018-11-04,15,15,15,15,-,-5.10%
2018-11-02,16,15,15,15,0.94K,-0.12%
2018-11-01,16,14,15,14,0.59K,3.34%
2018-10-31,15,15,15,15,0.01K,-1.17%
2018-10-30,15,15,15,15,0.02K,0.11%
2018-10-29,15,15,15,15,0.33K,3.56%
2018-10-28,15,15,15,15,-,-5.02%
2018-10-26,15,15,15,15,0.01K,0.45%
2018-10-25,15,15,15,15,0.42K,-0.29%
2018-10-24,15,15,15,15,0.30K,-0.78%
2018-10-23,16,15,15,15,0.40K,1.39%
2018-10-22,15,15,15,15,0.09K,4.83%
2018-10-21,15,15,15,15,-,-4.99%
2018-10-19,15,15,15,15,0.35K,0.33%
2018-10-18,15,15,15,15,0.50K,-0.40%
2018-10-17,15,15,15,15,0.23K,-0.22%
2018-10-16,15,15,15,15,0.00K,-0.18%
2018-10-15,16,15,15,15,0.39K,5.79%
2018-10-14,15,15,15,15,-,-4.89%
2018-10-12,15,15,15,15,0.01K,0.12%
2018-10-11,15,15,15,15,0.20K,1.96%
2018-10-10,15,15,15,15,0.02K,-0.44%
2018-10-09,15,15,15,15,0.03K,0.51%
2018-10-08,15,15,15,15,0.02K,2.78%
2018-10-07,15,15,15,15,-,-4.77%
2018-10-05,15,15,15,15,0.14K,0.48%
2018-10-04,15,15,15,15,1.25K,-0.48%
2018-10-03,15,15,15,15,0.00K,-0.13%
2018-10-02,15,15,15,15,0.07K,1.23%
2018-10-01,15,15,15,15,0.69K,3.83%
2018-09-30,15,15,15,15,-,-4.94%
2018-09-28,15,15,15,14,0.38K,2.85%
2018-09-27,15,15,15,15,0.01K,-0.74%
2018-09-26,15,15,15,15,0.00K,-0.60%
2018-09-25,15,15,15,15,0.51K,1.06%
2018-09-24,15,15,15,15,0.01K,5.35%
2018-09-23,14,14,14,14,-,-5.20%
2018-09-21,15,15,15,15,0.00K,0.36%
2018-09-20,15,15,15,14,0.23K,0.17%
2018-09-19,15,14,14,14,0.11K,0.58%
2018-09-18,15,14,14,14,0.48K,-0.27%
2018-09-17,15,14,14,14,0.25K,6.24%
2018-09-16,14,14,14,14,-,-5.35%
2018-09-14,15,14,14,14,0.49K,-0.71%
2018-09-13,15,15,15,14,0.44K,-0.27%
2018-09-12,15,14,14,14,1.36K,0.97%
2018-09-11,15,14,14,14,0.00K,-0.15%
2018-09-10,15,14,14,14,0.81K,4.99%
2018-09-09,14,14,14,14,-,-4.62%
2018-09-07,15,14,14,14,0.80K,-0.03%
2018-09-06,15,15,15,15,0.00K,-0.30%
2018-09-05,15,15,15,15,0.00K,0.21%
2018-09-04,15,15,15,15,0.01K,2.62%
2018-09-03,15,15,15,14,-,-0.27%
2018-09-02,15,15,15,15,-,-4.78%
2018-08-31,15,15,15,15,0.19K,-0.25%
2018-08-30,15,15,15,15,0.05K,-1.39%
2018-08-29,16,15,15,15,0.08K,-0.52%
2018-08-28,16,15,15,15,0.01K,-0.40%
2018-08-27,16,15,15,15,0.13K,5.79%
2018-08-26,15,15,15,15,-,-5.09%
2018-08-24,16,15,15,15,0.45K,1.71%
2018-08-23,15,15,15,15,0.00K,-1.35%
2018-08-22,16,15,15,15,0.14K,-0.05%
2018-08-21,16,15,15,15,0.05K,0.63%
2018-08-20,15,15,15,15,0.19K,4.86%
2018-08-19,15,15,15,15,-,-4.43%
2018-08-17,15,15,15,15,0.11K,-0.53%
2018-08-16,16,15,15,15,0.02K,1.68%
2018-08-15,15,15,15,15,0.06K,-4.07%
2018-08-14,16,15,15,15,0.07K,0.38%
2018-08-13,16,15,16,15,0.19K,3.51%
2018-08-12,15,15,15,15,-,-5.28%
2018-08-10,16,16,16,16,0.15K,-1.03%
2018-08-09,16,16,16,16,0.19K,0.22%
2018-08-08,16,16,16,16,0.15K,0.38%
2018-08-07,16,16,16,16,0.13K,0.18%
2018-08-06,16,16,16,16,0.05K,4.95%
2018-08-05,15,15,15,15,-,-5.42%
2018-08-03,16,16,16,16,0.11K,0.49%
2018-08-02,16,16,16,16,0.02K,-0.53%
2018-08-01,16,16,16,16,0.00K,-0.63%
2018-07-31,16,16,16,16,0.00K,0.16%
2018-07-30,16,16,16,16,0.01K,5.89%
2018-07-29,16,16,16,15,-,-5.31%
2018-07-27,16,16,16,16,0.02K,-0.01%
2018-07-26,16,16,16,16,0.06K,-0.60%
2018-07-25,16,16,16,16,0.08K,0.40%
2018-07-24,16,16,16,16,0.01K,0.56%
2018-07-23,16,16,16,16,0.05K,5.00%
2018-07-22,16,16,16,16,-,-5.51%
2018-07-20,16,16,16,16,0.01K,0.88%
2018-07-19,16,16,16,16,0.08K,-1.09%
2018-07-18,16,16,16,16,0.04K,-0.30%
2018-07-17,17,16,16,16,0.22K,-1.22%
2018-07-16,17,16,16,16,0.08K,5.72%
2018-07-15,16,16,16,16,-,-5.44%
2018-07-13,17,16,16,16,0.26K,-0.97%
2018-07-12,17,16,16,16,0.40K,0.99%
2018-07-11,17,16,16,16,0.36K,-1.64%
2018-07-10,17,17,17,17,0.00K,-0.29%
2018-07-09,17,16,16,16,0.40K,6.04%
2018-07-08,16,16,16,16,-,-5.27%
2018-07-06,17,16,16,16,0.07K,-0.14%
2018-07-05,17,16,16,16,0.21K,5.51%
2018-07-04,16,16,16,16,-,-4.92%
2018-07-03,17,16,16,16,0.06K,1.24%
2018-07-02,17,16,16,16,0.07K,3.69%
2018-07-01,16,16,16,16,-,-5.66%
2018-06-29,17,16,16,16,2.77K,0.94%
2018-06-28,17,16,16,16,0.00K,-1.14%
2018-06-27,17,17,17,16,0.02K,-0.54%
2018-06-26,17,17,17,17,0.01K,-0.47%
2018-06-25,17,17,17,17,0.01K,5.26%
2018-06-24,16,16,16,16,-,-5.72%
2018-06-22,17,17,17,17,0.01K,0.76%
2018-06-21,17,16,16,16,-,0.12%
2018-06-20,17,16,16,16,-,-0.09%
2018-06-19,17,17,17,17,0.00K,-0.70%
2018-06-18,17,17,17,17,0.00K,5.28%
2018-06-17,17,17,17,17,-,-5.26%
2018-06-15,18,17,17,17,0.02K,-4.35%
2018-06-14,18,17,17,17,0.10K,1.49%
2018-06-13,18,17,17,17,0.01K,0.57%
2018-06-12,18,17,17,17,-,-0.35%
2018-06-11,18,17,17,17,0.02K,7.21%
2018-06-10,17,17,17,17,-,-5.61%
2018-06-08,18,17,17,17,0.02K,-0.41%
2018-06-07,18,17,17,17,0.00K,0.67%
2018-06-06,18,16,16,16,0.09K,0.80%
2018-06-05,18,16,16,16,0.02K,0.57%
2018-06-04,17,16,16,16,0.04K,6.62%
2018-06-03,16,16,16,16,-,-6.26%
2018-06-01,18,17,17,17,0.14K,-0.06%
2018-05-31,18,17,17,17,0.07K,-0.50%
2018-05-30,18,16,17,16,0.40K,1.01%
2018-05-29,17,16,16,16,0.13K,5.66%
2018-05-28,16,17,17,16,-,-0.09%
2018-05-27,17,17,17,16,-,-6.37%
2018-05-25,18,17,17,17,0.06K,-0.82%
2018-05-24,18,17,17,17,0.01K,1.62%
2018-05-23,17,16,16,16,0.03K,-0.99%
2018-05-22,18,17,17,17,0.07K,0.31%
2018-05-21,18,16,16,16,0.02K,7.06%
2018-05-20,16,16,16,16,-,-6.27%
2018-05-18,18,16,16,16,0.03K,-0.16%
2018-05-17,18,17,17,17,0.01K,0.71%
2018-05-16,17,16,16,16,0.05K,0.63%
2018-05-15,17,17,17,17,0.00K,-2.18%
2018-05-14,18,17,17,17,0.07K,6.06%
2018-05-13,17,17,17,17,-,-6.31%
2018-05-11,18,17,17,17,0.03K,-0.03%
2018-05-10,18,16,17,16,0.04K,1.24%
2018-05-09,18,17,17,16,0.15K,0.37%
2018-05-08,18,17,17,17,0.00K,-0.08%
2018-05-07,18,17,17,17,0.00K,6.36%
2018-05-06,17,17,17,17,-,-6.10%
2018-05-04,18,17,17,17,0.00K,0.43%
2018-05-03,18,16,17,16,0.64K,0.42%
2018-05-02,17,17,17,17,0.00K,1.45%
2018-05-01,17,16,16,16,1.41K,-1.61%
2018-04-30,17,16,16,16,1.57K,6.30%
2018-04-29,16,16,16,16,-,-6.46%
2018-04-27,18,17,17,17,0.00K,-0.45%
2018-04-26,18,17,17,17,0.00K,-0.05%
2018-04-25,18,17,17,17,0.00K,-1.11%
2018-04-24,18,17,17,17,0.00K,0.72%
2018-04-23,18,17,17,17,0.00K,3.90%
2018-04-22,17,17,17,17,-,-6.63%
2018-04-20,18,18,18,18,0.00K,-0.44%
2018-04-19,18,17,17,17,0.00K,-0.08%
2018-04-18,18,18,18,18,0.00K,2.65%
2018-04-17,18,17,17,17,-,0.56%
2018-04-16,18,17,17,17,0.12K,7.19%
2018-04-15,17,17,17,17,-,-6.65%
2018-04-13,18,17,17,17,-,1.07%
2018-04-12,18,17,17,17,0.00K,-1.65%
2018-04-11,18,17,17,17,-,0.98%
2018-04-10,18,16,17,16,0.01K,0.27%
2018-04-09,18,17,17,17,0.03K,8.00%
2018-04-08,16,16,16,16,-,-6.61%
2018-04-06,18,17,17,17,0.01K,0.02%
2018-04-05,18,16,16,16,0.01K,0.54%
2018-04-04,17,17,17,17,0.01K,-0.81%
2018-04-03,18,16,16,16,-,-1.62%
2018-04-02,18,17,17,17,0.01K,9.18%
2018-04-01,16,16,16,16,-,-6.29%
2018-03-29,17,16,16,16,0.04K,0.05%
2018-03-28,17,16,16,16,0.08K,-1.72%
2018-03-27,18,17,17,17,0.00K,-0.80%
2018-03-26,18,17,17,17,0.00K,7.82%
2018-03-25,17,17,17,17,-,-6.70%
2018-03-23,18,17,17,17,0.01K,1.13%
2018-03-22,18,16,17,16,0.00K,-0.19%
2018-03-21,18,16,17,16,0.08K,1.38%
2018-03-20,17,17,17,17,0.04K,-0.71%
2018-03-19,18,16,16,16,0.14K,7.53%
2018-03-18,16,16,16,16,-,-6.72%
